season,week,game,trigger,bet_type,bet_side,market_line,won,actual_margin,cover_margin,home_off_epa,away_off_epa
2024,7,CAR @ WAS,Big Home Fav (10.0+),spread,HOME,10.0,True,33.0,23.0,0.23180522679890725,-0.15674488705501086
2024,7,CAR @ WAS,Big Home Fav ML (10.0+),moneyline,HOME,10.0,True,33.0,,0.23180522679890725,-0.15674488705501086
2024,8,BAL @ CLE,Big Home Dog (7.0+),spread,HOME,-7.5,True,5.0,12.5,-0.16063237198682412,0.2597945856149723
2024,8,TEN @ DET,Big Home Fav (10.0+),spread,HOME,12.5,True,38.0,25.5,0.15996734242017027,-0.16451657093155217
2024,8,TEN @ DET,Big Home Fav ML (10.0+),moneyline,HOME,12.5,True,38.0,,0.15996734242017027,-0.16451657093155217
2024,8,NYJ @ NE,Big Home Dog (7.0+),spread,HOME,-7.0,True,3.0,10.0,-0.18564047530698352,-0.03681675195858573
2024,8,CAR @ DEN,Big Home Fav (10.0+),spread,HOME,13.0,True,14.0,1.0,-0.046746752217056334,-0.14300953097977248
2024,8,CAR @ DEN,Big Home Fav ML (10.0+),moneyline,HOME,13.0,True,14.0,,-0.046746752217056334,-0.14300953097977248
2024,8,KC @ LV,Big Home Dog (7.0+),spread,HOME,-9.0,True,-7.0,2.0,-0.20513265078613627,0.02974226806352956
2024,9,NO @ CAR,Big Home Dog (7.0+),spread,HOME,-7.0,True,1.0,8.0,-0.09903423143210663,-0.20229814441053623
2024,10,MIN @ JAX,Big Home Dog (7.0+),spread,HOME,-7.0,True,-5.0,2.0,0.06818445464881971,-0.03529595163186128
2024,10,PHI @ DAL,Big Home Dog (7.0+),spread,HOME,-7.5,False,-28.0,-20.5,-0.05624896590681488,0.11977537617017976
2024,11,JAX @ DET,Big Home Fav (10.0+),spread,HOME,14.0,True,46.0,32.0,0.11184024337413805,0.028982216274533932
2024,11,JAX @ DET,Big Home Fav ML (10.0+),moneyline,HOME,14.0,True,46.0,,0.11184024337413805,0.028982216274533932
2024,11,HOU @ DAL,Big Home Dog (7.0+),spread,HOME,-7.5,False,-24.0,-16.5,-0.2078944600338862,-0.08153476227890748
2024,12,KC @ CAR,Big Home Dog (7.0+),spread,HOME,-11.0,True,-3.0,8.0,-0.13335336196028255,0.09284068880910198
2024,12,DET @ IND,Big Home Dog (7.0+),spread,HOME,-7.0,False,-18.0,-11.0,-0.1460692696632464,0.20740922398154274
2024,12,DAL @ WAS,Big Home Fav (10.0+),spread,HOME,10.5,False,-8.0,-18.5,0.08060058307584002,-0.3036142708102691
2024,12,DAL @ WAS,Big Home Fav ML (10.0+),moneyline,HOME,10.5,False,-8.0,,0.08060058307584002,-0.3036142708102691
2024,13,LV @ KC,Big Home Fav (10.0+),spread,HOME,13.5,False,2.0,-11.5,0.1251881544323981,-0.1729993676189012
2024,13,LV @ KC,Big Home Fav ML (10.0+),moneyline,HOME,13.5,True,2.0,,0.1251881544323981,-0.1729993676189012
2024,14,CAR @ PHI,Big Home Fav (10.0+),spread,HOME,14.0,False,6.0,-8.0,0.14821627046187974,0.00480355694719712
2024,14,CAR @ PHI,Big Home Fav ML (10.0+),moneyline,HOME,14.0,True,6.0,,0.14821627046187974,0.00480355694719712
2024,15,WAS @ NO,Big Home Dog (7.0+),spread,HOME,-7.5,True,-1.0,6.5,0.056979824696892716,0.06951082647273435
2024,15,BAL @ NYG,Big Home Dog (7.0+),spread,HOME,-16.5,False,-21.0,-4.5,-0.12381644952824526,0.18318463340902524
2024,16,DET @ CHI,Big Home Dog (7.0+),spread,HOME,-7.0,False,-17.0,-10.0,-0.07269915195769613,0.17440812105216374
2024,16,CLE @ CIN,Big Home Fav (10.0+),spread,HOME,10.0,True,18.0,8.0,0.11193311181502552,-0.13126272296403985
2024,16,CLE @ CIN,Big Home Fav ML (10.0+),moneyline,HOME,10.0,True,18.0,,0.11193311181502552,-0.13126272296403985
2024,16,NE @ BUF,Big Home Fav (10.0+),spread,HOME,14.0,False,3.0,-11.0,0.2668654678326469,0.031096432089143283
2024,16,NE @ BUF,Big Home Fav ML (10.0+),moneyline,HOME,14.0,True,3.0,,0.2668654678326469,0.031096432089143283
2024,16,NO @ GB,Big Home Fav (10.0+),spread,HOME,14.0,True,34.0,20.0,0.1527864291015129,0.013440238326412082
2024,16,NO @ GB,Big Home Fav ML (10.0+),moneyline,HOME,14.0,True,34.0,,0.1527864291015129,0.013440238326412082
2024,17,NYJ @ BUF,Big Home Fav (10.0+),spread,HOME,10.0,True,26.0,16.0,0.27862390002828746,0.04098713748778611
2024,17,NYJ @ BUF,Big Home Fav ML (10.0+),moneyline,HOME,10.0,True,26.0,,0.27862390002828746,0.04098713748778611
2024,17,IND @ NYG,Big Home Dog (7.0+),spread,HOME,-7.5,True,12.0,19.5,-0.24599444189191252,-0.06261097879033535
