player,prop_type,line,direction,model_prob,no_vig_prob,edge,odds,EV,kelly_units,confidence
Cedrick Wilson Jr.,player_receptions,1.5,OVER,61.7%,48.0%,13.73%,-105,20.47%,3.50,HIGH
D'Andre Swift,player_reception_yds,13.5,UNDER,62.5%,49.0%,13.51%,-110,19.32%,3.50,HIGH
Drew Sample,player_receptions,0.5,UNDER,46.2%,33.1%,13.08%,185,31.54%,2.98,HIGH
Tyrone Tracy Jr.,player_receptions,2.5,OVER,61.7%,49.0%,12.71%,-110,17.79%,3.43,HIGH
Jaylen Warren,player_reception_yds,21.5,UNDER,62.5%,50.0%,12.50%,-115,16.85%,3.39,HIGH
Mike Gesicki,player_reception_yds,31.5,UNDER,62.5%,50.0%,12.50%,-115,16.85%,3.39,HIGH
Marquez Valdes-Scantling,player_reception_yds,34.5,UNDER,62.5%,50.0%,12.50%,-115,16.85%,3.39,HIGH
Mike Williams,player_receptions,1.5,OVER,47.4%,35.0%,12.40%,170,28.00%,2.88,HIGH
Mike Williams,player_reception_yds,12.5,OVER,60.7%,49.0%,11.73%,-110,15.91%,3.06,HIGH
Bucky Irving,player_receptions,3.5,OVER,53.8%,42.8%,11.06%,120,18.46%,2.69,HIGH
Mike Evans,player_receptions,6.5,UNDER,52.6%,41.7%,10.94%,125,18.33%,2.57,HIGH
Cedrick Wilson Jr.,player_reception_yds,14.5,OVER,60.7%,50.0%,10.71%,-115,13.51%,2.72,HIGH
J.K. Dobbins,player_reception_yds,14.5,OVER,60.7%,50.0%,10.71%,-115,13.51%,2.72,HIGH
Tyler Lockett,player_reception_yds,21.5,OVER,60.7%,50.0%,10.71%,-115,13.51%,2.72,HIGH
George Pickens,player_receptions,4.5,OVER,61.7%,51.0%,10.69%,-120,13.12%,2.76,HIGH
Najee Harris,player_receptions,1.5,OVER,61.7%,51.0%,10.69%,-120,13.12%,2.76,HIGH
Nick Westbrook-Ikhine,player_receptions,2.5,OVER,61.7%,51.0%,10.69%,-120,13.12%,2.76,HIGH
Marquez Valdes-Scantling,player_receptions,2.5,OVER,61.7%,51.0%,10.69%,-120,13.12%,2.76,HIGH
Courtland Sutton,player_receptions,5.5,OVER,61.7%,51.0%,10.69%,-120,13.12%,2.76,HIGH
Payne Durham,player_receptions,2.5,UNDER,71.9%,61.6%,10.26%,-190,9.70%,3.23,HIGH
Raheem Mostert,player_receptions,1.5,OVER,45.2%,35.0%,10.15%,170,21.94%,2.26,HIGH
Tyreek Hill,player_receptions,4.5,OVER,53.8%,44.6%,9.26%,110,13.08%,2.08,HIGH
Garrett Wilson,player_receptions,4.5,UNDER,52.6%,43.7%,8.92%,115,13.07%,1.99,HIGH
Drew Sample,player_reception_yds,4.5,UNDER,54.1%,48.0%,6.13%,-105,5.62%,1.03,MEDIUM
Ricky Pearsall,player_reception_yds,34.5,UNDER,54.1%,48.0%,6.13%,-105,5.62%,1.03,MEDIUM
Calvin Austin III,player_reception_yds,33.5,UNDER,54.1%,49.0%,5.11%,-110,3.28%,0.63,MEDIUM
